Date,Open,High,Low,Close,Volume,MarketCap
08-Jan-20,8161.94,8396.74,7956.77,8079.86,31672559265,1.47E+11
09-Jan-20,8082.3,8082.3,7842.4,7879.07,24045990466,1.43E+11
10-Jan-20,7878.31,8166.55,7726.77,8166.55,28714583844,1.48E+11
11-Jan-20,8162.19,8218.36,8029.64,8037.54,25521165085,1.46E+11
12-Jan-20,8033.26,8200.06,8009.06,8192.49,22903438381,1.49E+11
13-Jan-20,8189.77,8197.79,8079.7,8144.19,22482910688,1.48E+11
14-Jan-20,8140.93,8879.51,8140.93,8827.76,44841784107,1.60E+11
15-Jan-20,8825.34,8890.12,8657.19,8807.01,40102834650,1.60E+11
16-Jan-20,8812.48,8846.46,8612.1,8723.79,31313981931,1.58E+11
17-Jan-20,8725.21,8958.12,8677.32,8929.04,36372139320,1.62E+11
18-Jan-20,8927.21,9012.2,8827.33,8942.81,32337772627,1.62E+11
19-Jan-20,8941.45,9164.36,8620.08,8706.25,34217320471,1.58E+11
20-Jan-20,8704.63,8745.59,8560.47,8657.64,26422375678,1.57E+11
21-Jan-20,8658.99,8755.71,8544.52,8745.89,24097418512,1.59E+11
22-Jan-20,8744.21,8792.99,8636.75,8680.88,22600204051,1.58E+11
23-Jan-20,8680.65,8687.75,8333.64,8406.52,25770680779,1.53E+11
24-Jan-20,8405.57,8514.67,8266.84,8445.43,24397913026,1.54E+11
25-Jan-20,8440.12,8458.45,8296.22,8367.85,19647331549,1.52E+11
26-Jan-20,8364.41,8602.4,8325.5,8596.83,22177678796,1.56E+11
27-Jan-20,8597.31,8977.73,8597.31,8909.82,28647338393,1.62E+11
28-Jan-20,8912.52,9358.59,8908.45,9358.59,34398744403,1.70E+11
29-Jan-20,9357.47,9406.43,9269.47,9316.63,30682598115,1.69E+11
30-Jan-20,9316.02,9553.13,9230.9,9508.99,32378792851,1.73E+11
31-Jan-20,9508.31,9521.71,9230.78,9350.53,29432489719,1.70E+11
01-Feb-20,9346.36,9439.32,9313.24,9392.88,25922656496,1.71E+11
02-Feb-20,9389.82,9468.8,9217.82,9344.37,30835736946,1.70E+11
03-Feb-20,9344.68,9540.37,9248.63,9293.52,30934096509,1.69E+11
04-Feb-20,9292.84,9331.27,9112.81,9180.96,29893183716,1.67E+11
05-Feb-20,9183.42,9701.3,9163.7,9613.42,35222060874,1.75E+11
06-Feb-20,9617.82,9824.62,9539.82,9729.8,37628823716,1.77E+11
07-Feb-20,9726,9834.72,9726,9795.94,34522718159,1.78E+11
08-Feb-20,9793.07,9876.75,9678.91,9865.12,35172043762,1.80E+11
09-Feb-20,9863.89,10129.44,9850.39,10116.67,35807884663,1.84E+11
10-Feb-20,10115.56,10165.77,9784.56,9856.61,39386548075,1.79E+11
11-Feb-20,9855.89,10210.05,9729.33,10208.24,37648059389,1.86E+11
12-Feb-20,10202.39,10393.61,10202.39,10326.05,43444303830,1.88E+11
13-Feb-20,10323.96,10457.63,10116.16,10214.38,49356071373,1.86E+11
14-Feb-20,10211.55,10322,10125.53,10312.12,43338264162,1.88E+11
15-Feb-20,10313.86,10341.56,9874.43,9889.42,43865054831,1.80E+11
16-Feb-20,9889.18,10053.97,9722.39,9934.43,43374780305,1.81E+11
17-Feb-20,9936.56,9938.82,9507.64,9690.14,45998298413,1.77E+11
18-Feb-20,9691.23,10161.94,9632.38,10142,47271023953,1.85E+11
19-Feb-20,10143.8,10191.68,9611.22,9633.39,46992019710,1.76E+11
20-Feb-20,9629.33,9643.22,9507.9,9608.48,44925260237,1.75E+11
21-Feb-20,9611.78,9723.01,9589.74,9686.44,40930547513,1.77E+11
22-Feb-20,9687.71,9698.23,9600.73,9663.18,35838025154,1.76E+11
23-Feb-20,9663.32,9937.4,9657.79,9924.52,41185185761,1.81E+11
24-Feb-20,9921.58,9951.75,9537.04,9650.17,45080496648,1.76E+11
25-Feb-20,9651.31,9652.74,9305.02,9341.71,42515259129,1.70E+11
26-Feb-20,9338.29,9354.78,8704.43,8820.52,50420050762,1.61E+11
27-Feb-20,8825.09,8932.89,8577.2,8784.49,45470195695,1.60E+11
28-Feb-20,8788.73,8890.46,8492.93,8672.46,44605450443,1.58E+11
29-Feb-20,8671.21,8775.63,8599.51,8599.51,35792392544,1.57E+11
01-Mar-20,8599.76,8726.8,8471.21,8562.45,35349164300,1.56E+11
02-Mar-20,8563.26,8921.31,8532.63,8869.67,42857674409,1.62E+11
03-Mar-20,8865.39,8901.6,8704.99,8787.79,42386715821,1.60E+11
04-Mar-20,8788.54,8843.37,8712.43,8755.25,34746706368,1.60E+11
05-Mar-20,8760.29,9142.05,8757.25,9078.76,39698054597,1.66E+11
06-Mar-20,9078.31,9167.7,9032.08,9122.55,40826885651,1.67E+11
07-Mar-20,9121.6,9163.22,8890.74,8909.95,36216930370,1.63E+11
08-Mar-20,8908.21,8914.34,8105.25,8108.12,39973102121,1.48E+11
09-Mar-20,8111.15,8177.79,7690.1,7923.64,46936995808,1.45E+11
10-Mar-20,7922.15,8136.95,7814.76,7909.73,42213940994,1.44E+11
11-Mar-20,7910.09,7950.81,7642.81,7911.43,38682762605,1.45E+11
12-Mar-20,7913.62,7929.12,4860.35,4970.79,53980357243,90804613601
13-Mar-20,5017.83,5838.11,4106.98,5563.71,74156772075,1.02E+11
14-Mar-20,5573.08,5625.23,5125.07,5200.37,36154506008,95014981944
15-Mar-20,5201.07,5836.65,5169.28,5392.31,33997889639,98530059890
16-Mar-20,5385.23,5385.23,4575.36,5014.48,45368026430,91633478850
17-Mar-20,5002.58,5371.35,4981.91,5225.63,38622642935,95499941183
18-Mar-20,5227.11,5331.83,5069.34,5238.44,37878801016,95740715529
19-Mar-20,5245.42,6329.74,5236.97,6191.19,51000731797,1.13E+11
20-Mar-20,6191.65,6844.26,5865.78,6198.78,54442976103,1.13E+11
21-Mar-20,6206.52,6378.14,5932.82,6185.07,42494390880,1.13E+11
22-Mar-20,6185.56,6359.7,5823.71,5830.25,40099664740,1.07E+11
23-Mar-20,5831.37,6443.93,5785,6416.31,46491916000,1.17E+11
24-Mar-20,6436.64,6789.02,6411.07,6734.8,48221910672,1.23E+11
25-Mar-20,6738.72,6892.51,6536.93,6681.06,44590107888,1.22E+11
26-Mar-20,6675.17,6735.46,6590.96,6716.44,35319797642,1.23E+11
27-Mar-20,6719.39,6793.84,6466.7,6469.8,34585598367,1.18E+11
28-Mar-20,6467.25,6467.5,6117.84,6242.19,34885225901,1.14E+11
29-Mar-20,6245.62,6250.47,5920.09,5922.04,28373690931,1.08E+11
30-Mar-20,5925.54,6517.2,5903.23,6429.84,37101651525,1.18E+11
31-Mar-20,6430.61,6504.52,6374.16,6438.64,32786468812,1.18E+11
01-Apr-20,6437.32,6612.57,6202.37,6606.78,40346426266,1.21E+11
02-Apr-20,6606.78,7088.25,6595.92,6793.62,47660646124,1.24E+11
03-Apr-20,6797.4,7003.22,6673.34,6733.39,38976504903,1.23E+11
04-Apr-20,6738.38,6878.95,6696.48,6867.53,33185988584,1.26E+11
05-Apr-20,6862.54,6883.41,6715.93,6791.13,29510409856,1.24E+11
06-Apr-20,6788.05,7271.78,6782.89,7271.78,46896904615,1.33E+11
07-Apr-20,7273.64,7427.94,7136.71,7176.41,44243482668,1.31E+11
08-Apr-20,7179.28,7356.22,7153.31,7334.1,37563249549,1.34E+11
09-Apr-20,7337.97,7341.45,7179.09,7302.09,34815139178,1.34E+11
10-Apr-20,7303.82,7303.82,6802.47,6865.49,43622840992,1.26E+11
11-Apr-20,6867.44,6926.07,6789.92,6859.08,31222085946,1.26E+11
12-Apr-20,6858.07,7119.95,6811.08,6971.09,35759567632,1.28E+11
13-Apr-20,6965.62,6965.62,6668.26,6845.04,38619308647,1.25E+11
14-Apr-20,6843.28,6958.56,6793.82,6842.43,34110434052,1.25E+11
15-Apr-20,6845.56,6928.66,6633.4,6642.11,32288311031,1.22E+11
16-Apr-20,6640.45,7134.45,6555.5,7116.8,46783242377,1.30E+11
17-Apr-20,7116.55,7167.18,7050.33,7096.18,32513423567,1.30E+11
18-Apr-20,7092.29,7269.96,7089.25,7257.66,32447188386,1.33E+11
19-Apr-20,7260.92,7280.52,7167.05,7189.42,31311210215,1.32E+11
20-Apr-20,7186.87,7240.29,6835.5,6881.96,37747113936,1.26E+11
21-Apr-20,6879.78,6934.55,6834.44,6880.32,32589741511,1.26E+11
22-Apr-20,6879.44,7145.87,6867.78,7117.21,33249153866,1.31E+11
23-Apr-20,7121.31,7491.78,7081.59,7429.72,43500782316,1.36E+11
24-Apr-20,7434.18,7574.2,7434.18,7550.9,34636526286,1.39E+11
25-Apr-20,7550.48,7641.36,7521.67,7569.94,32941541447,1.39E+11
26-Apr-20,7570.14,7700.59,7561.41,7679.87,33070154491,1.41E+11
27-Apr-20,7679.42,7795.6,7679.42,7795.6,36162144725,1.43E+11
28-Apr-20,7796.97,7814.53,7730.81,7807.06,33187959921,1.43E+11
29-Apr-20,7806.71,8871.75,7786.05,8801.04,60201052203,1.62E+11
30-Apr-20,8797.67,9440.65,8533.26,8658.55,66964629541,1.59E+11
01-May-20,8672.78,9048.02,8667.76,8864.77,44068389997,1.63E+11
02-May-20,8869.06,9007.19,8811.37,8988.6,40134388683,1.65E+11
03-May-20,8983.61,9167.78,8830.97,8897.47,47101785174,1.63E+11
04-May-20,8895.74,8956.91,8645.02,8912.65,45718796276,1.64E+11
05-May-20,8912.83,9062.41,8856.83,9003.07,43148462663,1.65E+11
06-May-20,9007.44,9411.47,8966.71,9268.76,49371886931,1.70E+11
07-May-20,9261.9,9992.66,9138.32,9951.52,61112700562,1.83E+11
